Gmt time,Open,High,Low,Close,Volume
13.07.2020 21:00:00.000,1.13432,1.14089,1.13253,1.14004,395250.2045000001
14.07.2020 21:00:00.000,1.14006,1.14522,1.13912,1.14123,272065.2046
15.07.2020 21:00:00.000,1.14125,1.14419,1.13707,1.13845,341060.9193
16.07.2020 21:00:00.000,1.13845,1.14439,1.13778,1.14285,187763.35910000003
17.07.2020 21:00:00.000,1.14285,1.14285,1.14285,1.14285,0
18.07.2020 21:00:00.000,1.14285,1.14285,1.14285,1.14285,0
19.07.2020 21:00:00.000,1.14166,1.14680,1.14027,1.14482,277345.84319999994
20.07.2020 21:00:00.000,1.14481,1.15400,1.14232,1.15274,354825.06940000004
21.07.2020 21:00:00.000,1.15274,1.16015,1.15070,1.15702,416597.20060000004
22.07.2020 21:00:00.000,1.15704,1.16270,1.15405,1.15971,403871.7962999999
23.07.2020 21:00:00.000,1.15969,1.16583,1.15815,1.16565,343035.278
24.07.2020 21:00:00.000,1.16565,1.16565,1.16565,1.16565,0
25.07.2020 21:00:00.000,1.16565,1.16565,1.16565,1.16565,0
26.07.2020 21:00:00.000,1.16466,1.17816,1.16424,1.17522,323027.8488
27.07.2020 21:00:00.000,1.17529,1.17739,1.16990,1.17167,414808.7975
28.07.2020 21:00:00.000,1.17168,1.18068,1.17144,1.17917,356962.0408
29.07.2020 21:00:00.000,1.17920,1.18485,1.17311,1.18478,376449.78200000006
30.07.2020 21:00:00.000,1.18475,1.19091,1.17618,1.17839,406889.6009999999
31.07.2020 21:00:00.000,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:00:00.000,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 21:00:00.000,1.17758,1.17971,1.16961,1.17626,294614.9833999999
03.08.2020 21:00:00.000,1.17634,1.18060,1.17215,1.18030,448415.00409999996
04.08.2020 21:00:00.000,1.18030,1.19051,1.17932,1.18639,943257.4683000002
05.08.2020 21:00:00.000,1.18639,1.19163,1.18181,1.18769,720727.7676000003
06.08.2020 21:00:00.000,1.18771,1.18833,1.17555,1.17892,370421.1605
07.08.2020 21:00:00.000,1.17892,1.17892,1.17892,1.17892,0
08.08.2020 21:00:00.000,1.17892,1.17892,1.17892,1.17892,0
09.08.2020 21:00:00.000,1.17923,1.18010,1.17364,1.17387,332699.87059999997
10.08.2020 21:00:00.000,1.17389,1.18081,1.17223,1.17404,466341.77829999983
11.08.2020 21:00:00.000,1.17406,1.18171,1.17112,1.17849,409565.5704
12.08.2020 21:00:00.000,1.17850,1.18643,1.17808,1.18141,342018.53500000003
13.08.2020 21:00:00.000,1.18141,1.18506,1.17820,1.18434,333795.29850000003
14.08.2020 21:00:00.000,1.18434,1.18434,1.18434,1.18434,0
15.08.2020 21:00:00.000,1.18434,1.18434,1.18434,1.18434,0
16.08.2020 21:00:00.000,1.18467,1.18813,1.18290,1.18711,223859.32560000004
17.08.2020 21:00:00.000,1.18712,1.19660,1.18671,1.19317,340791.06410000013
18.08.2020 21:00:00.000,1.19317,1.19531,1.18306,1.18390,486644.5938
19.08.2020 21:00:00.000,1.18400,1.18690,1.18024,1.18609,545993.1150000001
20.08.2020 21:00:00.000,1.18610,1.18831,1.17543,1.17974,412721.38910000003
21.08.2020 21:00:00.000,1.17974,1.17974,1.17974,1.17974,0
22.08.2020 21:00:00.000,1.17974,1.17974,1.17974,1.17974,0
23.08.2020 21:00:00.000,1.17992,1.18498,1.17845,1.17884,320360.60150000005
24.08.2020 21:00:00.000,1.17884,1.18439,1.17845,1.18349,296354.7849
25.08.2020 21:00:00.000,1.18351,1.18395,1.17726,1.18308,255541.20090000003
26.08.2020 21:00:00.000,1.18308,1.19022,1.17627,1.18228,415618.4149000001
27.08.2020 21:00:00.000,1.18229,1.19200,1.18112,1.19065,415520.5629
28.08.2020 21:00:00.000,1.19065,1.19065,1.19065,1.19065,0
29.08.2020 21:00:00.000,1.19065,1.19065,1.19065,1.19065,0
30.08.2020 21:00:00.000,1.19065,1.19663,1.18842,1.19375,821667.4251999999
31.08.2020 21:00:00.000,1.19375,1.20116,1.19016,1.19125,415725.01000000007
01.09.2020 21:00:00.000,1.19125,1.19290,1.18222,1.18555,793581.9831000001
02.09.2020 21:00:00.000,1.18562,1.18649,1.17892,1.18520,1148434.4516999999
03.09.2020 21:00:00.000,1.18516,1.18657,1.17811,1.18393,1264146.101
04.09.2020 21:00:00.000,1.18393,1.18393,1.18393,1.18393,0
05.09.2020 21:00:00.000,1.18393,1.18393,1.18393,1.18393,0
06.09.2020 21:00:00.000,1.18480,1.18490,1.18123,1.18166,587514.1933
07.09.2020 21:00:00.000,1.18165,1.18277,1.17657,1.17759,1307571.6671000002
08.09.2020 21:00:00.000,1.17758,1.18341,1.17530,1.18036,1047368.0183
09.09.2020 21:00:00.000,1.18036,1.19176,1.18009,1.18154,983067.1247
10.09.2020 21:00:00.000,1.18147,1.18742,1.18139,1.18476,625100.6627
11.09.2020 21:00:00.000,1.18476,1.18476,1.18476,1.18476,0
12.09.2020 21:00:00.000,1.18476,1.18476,1.18476,1.18476,0
13.09.2020 21:00:00.000,1.18409,1.18882,1.18321,1.18658,446866.4351
14.09.2020 21:00:00.000,1.18658,1.19007,1.18397,1.18469,583872.4308
15.09.2020 21:00:00.000,1.18468,1.18827,1.17878,1.18166,644452.5073000002
16.09.2020 21:00:00.000,1.18166,1.18527,1.17379,1.18485,556929.7391
17.09.2020 21:00:00.000,1.18489,1.18706,1.18264,1.18410,500816.28210000007
18.09.2020 21:00:00.000,1.18410,1.18410,1.18410,1.18410,0
19.09.2020 21:00:00.000,1.18410,1.18410,1.18410,1.18410,0
20.09.2020 21:00:00.000,1.18428,1.18719,1.17318,1.17715,579922.2000000001
21.09.2020 21:00:00.000,1.17715,1.17745,1.16920,1.17085,645437.8405
22.09.2020 21:00:00.000,1.17081,1.17192,1.16515,1.16607,729091.1672
23.09.2020 21:00:00.000,1.16614,1.16871,1.16267,1.16731,727297.1975000001
24.09.2020 21:00:00.000,1.16731,1.16853,1.16124,1.16351,599867.2894000001
25.09.2020 21:00:00.000,1.16351,1.16351,1.16351,1.16351,0
26.09.2020 21:00:00.000,1.16351,1.16351,1.16351,1.16351,0
27.09.2020 21:00:00.000,1.16286,1.16802,1.16153,1.16664,424523.36579999997
28.09.2020 21:00:00.000,1.16661,1.17457,1.16620,1.17439,400213.7074999999
29.09.2020 21:00:00.000,1.17438,1.17552,1.16849,1.17215,596887.3943
30.09.2020 21:00:00.000,1.17215,1.17699,1.17175,1.17498,594161.0125
01.10.2020 21:00:00.000,1.17509,1.17509,1.16960,1.17173,746977.0795999999
02.10.2020 21:00:00.000,1.17173,1.17173,1.17173,1.17173,0
03.10.2020 21:00:00.000,1.17173,1.17173,1.17173,1.17173,0
04.10.2020 21:00:00.000,1.17153,1.17978,1.17064,1.17852,581620.5586999999
05.10.2020 21:00:00.000,1.17854,1.18080,1.17322,1.17348,719381.8189000001
06.10.2020 21:00:00.000,1.17344,1.17821,1.17252,1.17636,515506.1646999999
07.10.2020 21:00:00.000,1.17637,1.17819,1.17329,1.17604,435810.4725
08.10.2020 21:00:00.000,1.17597,1.18328,1.17578,1.18314,564486.0510000001
09.10.2020 21:00:00.000,1.18314,1.18314,1.18314,1.18314,0
10.10.2020 21:00:00.000,1.18314,1.18314,1.18314,1.18314,0
11.10.2020 21:00:00.000,1.18180,1.18269,1.17870,1.18143,377729.64269999997
12.10.2020 21:00:00.000,1.18131,1.18167,1.17307,1.17480,464254.63209999993
13.10.2020 21:00:00.000,1.17466,1.17713,1.17201,1.17462,454152.1783
14.10.2020 21:00:00.000,1.17463,1.17581,1.16887,1.17085,473851.9021
15.10.2020 21:00:00.000,1.17084,1.17464,1.16942,1.17216,448694.86049999995
16.10.2020 21:00:00.000,1.17216,1.17216,1.17216,1.17216,0
17.10.2020 21:00:00.000,1.17216,1.17216,1.17216,1.17216,0
18.10.2020 21:00:00.000,1.17238,1.17939,1.17033,1.17709,554464.3699
19.10.2020 21:00:00.000,1.17710,1.18409,1.17601,1.18233,587925.2883999998
20.10.2020 21:00:00.000,1.18233,1.18809,1.18226,1.18622,690867.8184000001
21.10.2020 21:00:00.000,1.18622,1.18671,1.18116,1.18187,539516.5898999999
22.10.2020 21:00:00.000,1.18184,1.18657,1.17870,1.18657,510232.1541000001
23.10.2020 21:00:00.000,1.18657,1.18657,1.18657,1.18657,0
24.10.2020 21:00:00.000,1.18657,1.18657,1.18657,1.18657,0
25.10.2020 21:00:00.000,1.18595,1.18617,1.18034,1.18101,589596.8567000001
26.10.2020 21:00:00.000,1.18094,1.18390,1.17929,1.17952,608120.9604999999
27.10.2020 21:00:00.000,1.17952,1.17992,1.17180,1.17466,525125.5087
28.10.2020 21:00:00.000,1.17462,1.17589,1.16504,1.16750,608229.3865
29.10.2020 21:00:00.000,1.16750,1.17044,1.16402,1.16515,748056.9133
30.10.2020 21:00:00.000,1.16515,1.16515,1.16515,1.16515,0
31.10.2020 21:00:00.000,1.16515,1.16515,1.16515,1.16515,0
01.11.2020 22:00:00.000,1.16518,1.16560,1.16223,1.16423,709665.2056
02.11.2020 22:00:00.000,1.16435,1.17399,1.16355,1.17166,681640.9473000001
03.11.2020 22:00:00.000,1.17174,1.17706,1.16030,1.17269,738690.5492
04.11.2020 22:00:00.000,1.17280,1.18598,1.17109,1.18282,924915.9397000001
05.11.2020 22:00:00.000,1.18304,1.18912,1.17956,1.18760,566998.5728999999
06.11.2020 22:00:00.000,1.18760,1.18760,1.18760,1.18760,0
07.11.2020 22:00:00.000,1.18760,1.18760,1.18760,1.18760,0
08.11.2020 22:00:00.000,1.18906,1.19202,1.17956,1.18137,798273.4493000002
09.11.2020 22:00:00.000,1.18137,1.18436,1.17801,1.18173,617403.0552
10.11.2020 22:00:00.000,1.18176,1.18329,1.17457,1.17783,426476.1785
11.11.2020 22:00:00.000,1.17787,1.18233,1.17588,1.18084,407866.84189999994
12.11.2020 22:00:00.000,1.18082,1.18385,1.17992,1.18385,369838.16680000006
13.11.2020 22:00:00.000,1.18385,1.18385,1.18385,1.18385,0
14.11.2020 22:00:00.000,1.18385,1.18385,1.18385,1.18385,0
15.11.2020 22:00:00.000,1.18432,1.18691,1.18144,1.18530,405772.279
16.11.2020 22:00:00.000,1.18530,1.18939,1.18427,1.18620,422507.9344
17.11.2020 22:00:00.000,1.18621,1.18911,1.18493,1.18545,439072.25460000004
18.11.2020 22:00:00.000,1.18546,1.18827,1.18164,1.18763,459689.8112
19.11.2020 22:00:00.000,1.18762,1.18910,1.18500,1.18603,359489.96259999997
20.11.2020 22:00:00.000,1.18603,1.18603,1.18603,1.18603,0
21.11.2020 22:00:00.000,1.18603,1.18603,1.18603,1.18603,0
